client_code,company_name,contact_person,contact_email,country,total_balance
CLT-0163,Solaris Pension 163,Noah Kim,contact.163@client-163.com,AU,241916494.93
CLT-0269,Rigel Global 269,Olivia Patel,contact.269@client-269.com,CA,241419962.82
CLT-0389,Rigel Global 389,Olivia Patel,contact.389@client-389.com,CA,240427061.72
CLT-0667,Summit Securities 667,Henry Martin,contact.667@client-667.com,ES,240204499.78
CLT-0917,Helios Investments 917,Carol White,contact.917@client-917.com,DE,240122921.09
CLT-0838,Centaurus Pension 838,Noah Kim,contact.838@client-838.com,AU,240021419.16
CLT-0693,Orion Fund 693,David Brown,contact.693@client-693.com,FR,238920566.71
CLT-0685,Vega Finance 685,Karen Hughes,contact.685@client-685.com,SG,238537684.04
CLT-0999,Horizon Trust 999,James Taylor,contact.999@client-999.com,LU,237546733.80
CLT-0436,Quantum Partners 436,Bob Smith,contact.436@client-436.com,GB,237524205.74
CLT-0723,Orion Fund 723,David Brown,contact.723@client-723.com,FR,236461369.78
CLT-0620,Olympus Holdings 620,Frank Wilson,contact.620@client-620.com,CH,236161646.13
CLT-0616,Quantum Partners 616,Bob Smith,contact.616@client-616.com,GB,236141702.29
CLT-0878,Pinnacle Wealth 878,Iris Clark,contact.878@client-878.com,IT,235791826.02
CLT-0554,Polaris Global 554,Olivia Patel,contact.554@client-554.com,CA,234827863.60
CLT-0093,Orion Fund 93,David Brown,contact.93@client-93.com,FR,234369322.65
CLT-0596,Sirius Bank 596,Liam Chen,contact.596@client-596.com,HK,233664977.91
CLT-0774,Saturn Trust 774,James Taylor,contact.774@client-774.com,LU,233311483.22
CLT-0718,Centaurus Pension 718,Noah Kim,contact.718@client-718.com,AU,232579814.89
CLT-0373,Solaris Pension 373,Noah Kim,contact.373@client-373.com,AU,232313430.81
CLT-0618,Titan Fund 618,David Brown,contact.618@client-618.com,FR,232234975.35
CLT-0807,Andromeda Insurance 807,Maria Santos,contact.807@client-807.com,JP,232186010.63
CLT-0049,Phoenix Group 49,Emma Davis,contact.49@client-49.com,NL,231505280.99
CLT-0264,Saturn Trust 264,James Taylor,contact.264@client-264.com,LU,230962254.76
CLT-0542,Atlas Investments 542,Carol White,contact.542@client-542.com,DE,230369117.24
CLT-0515,Apex Holdings 515,Frank Wilson,contact.515@client-515.com,CH,229871280.20
CLT-0841,Zenith Partners 841,Bob Smith,contact.841@client-841.com,GB,229595243.53
CLT-0485,Apex Holdings 485,Frank Wilson,contact.485@client-485.com,CH,227908668.12
CLT-0441,Pegasus Asset Management 441,Grace Lee,contact.441@client-441.com,BE,227693058.25
CLT-0337,Summit Securities 337,Henry Martin,contact.337@client-337.com,ES,226928070.42
CLT-0008,Pinnacle Wealth 8,Iris Clark,contact.8@client-8.com,IT,226785299.03
CLT-0657,Andromeda Insurance 657,Maria Santos,contact.657@client-657.com,JP,226683880.84
CLT-0698,Pinnacle Wealth 698,Iris Clark,contact.698@client-698.com,IT,226254068.64
CLT-0072,Cascade Insurance 72,Maria Santos,contact.72@client-72.com,JP,225993089.34
CLT-0733,Solaris Pension 733,Noah Kim,contact.733@client-733.com,AU,225606184.29
CLT-0105,Aurora Capital 105,Alice Johnson,contact.105@client-105.com,US,225395060.04
CLT-0484,Nexus Group 484,Emma Davis,contact.484@client-484.com,NL,224985565.01
CLT-0103,Solaris Pension 103,Noah Kim,contact.103@client-103.com,AU,224539291.47
CLT-0771,Pegasus Asset Management 771,Grace Lee,contact.771@client-771.com,BE,223903047.00
CLT-0025,Vega Finance 25,Karen Hughes,contact.25@client-25.com,SG,223795031.36
CLT-0135,Aurora Capital 135,Alice Johnson,contact.135@client-135.com,US,223747718.56
CLT-0597,Andromeda Insurance 597,Maria Santos,contact.597@client-597.com,JP,223464180.82
CLT-0751,Zenith Partners 751,Bob Smith,contact.751@client-751.com,GB,223298444.43
CLT-0351,Pegasus Asset Management 351,Grace Lee,contact.351@client-351.com,BE,223014869.12
CLT-0454,Nexus Group 454,Emma Davis,contact.454@client-454.com,NL,222924473.99
CLT-0247,Summit Securities 247,Henry Martin,contact.247@client-247.com,ES,222855889.74
CLT-0653,Jupiter Wealth 653,Iris Clark,contact.653@client-653.com,IT,222521653.06
CLT-0512,Atlas Investments 512,Carol White,contact.512@client-512.com,DE,222495098.44
CLT-0294,Saturn Trust 294,James Taylor,contact.294@client-294.com,LU,222275358.50
CLT-0991,Zenith Partners 991,Bob Smith,contact.991@client-991.com,GB,222020428.47
CLT-0033,Orion Fund 33,David Brown,contact.33@client-33.com,FR,221999605.77
CLT-0209,Rigel Global 209,Olivia Patel,contact.209@client-209.com,CA,221926885.49
CLT-0805,Vega Finance 805,Karen Hughes,contact.805@client-805.com,SG,221574536.08
CLT-0558,Titan Fund 558,David Brown,contact.558@client-558.com,FR,221554398.04
CLT-0882,Cascade Insurance 882,Maria Santos,contact.882@client-882.com,JP,221393137.31
CLT-0428,Pinnacle Wealth 428,Iris Clark,contact.428@client-428.com,IT,220393145.07
CLT-0595,Vega Finance 595,Karen Hughes,contact.595@client-595.com,SG,220306856.76
CLT-0423,Orion Fund 423,David Brown,contact.423@client-423.com,FR,220256274.96
CLT-0940,Sterling Finance 940,Karen Hughes,contact.940@client-940.com,SG,220182817.14
CLT-0644,Polaris Global 644,Olivia Patel,contact.644@client-644.com,CA,219310908.33
CLT-0607,Summit Securities 607,Henry Martin,contact.607@client-607.com,ES,219270339.64
CLT-0710,Olympus Holdings 710,Frank Wilson,contact.710@client-710.com,CH,219101183.49
CLT-0695,Apex Holdings 695,Frank Wilson,contact.695@client-695.com,CH,218296848.57
CLT-0609,Horizon Trust 609,James Taylor,contact.609@client-609.com,LU,216828372.31
CLT-0664,Nexus Group 664,Emma Davis,contact.664@client-664.com,NL,216779174.98
CLT-0147,Andromeda Insurance 147,Maria Santos,contact.147@client-147.com,JP,216645571.40
CLT-0329,Rigel Global 329,Olivia Patel,contact.329@client-329.com,CA,216285847.88
CLT-0276,Vertex Asset Management 276,Grace Lee,contact.276@client-276.com,BE,216021816.64
CLT-0186,Vertex Asset Management 186,Grace Lee,contact.186@client-186.com,BE,215864059.61
CLT-0587,Helios Investments 587,Carol White,contact.587@client-587.com,DE,215623511.49
CLT-0442,Neptune Securities 442,Henry Martin,contact.442@client-442.com,ES,215264773.99
CLT-0529,Phoenix Group 529,Emma Davis,contact.529@client-529.com,NL,215255073.57
CLT-0087,Andromeda Insurance 87,Maria Santos,contact.87@client-87.com,JP,214980128.95
CLT-0359,Rigel Global 359,Olivia Patel,contact.359@client-359.com,CA,214948397.87
CLT-0628,Centaurus Pension 628,Noah Kim,contact.628@client-628.com,AU,213993907.29
CLT-0039,Horizon Trust 39,James Taylor,contact.39@client-39.com,LU,213808216.45
CLT-0334,Nexus Group 334,Emma Davis,contact.334@client-334.com,NL,212859358.83
CLT-0902,Atlas Investments 902,Carol White,contact.902@client-902.com,DE,212407716.63
CLT-0438,Titan Fund 438,David Brown,contact.438@client-438.com,FR,211995212.88
CLT-0588,Titan Fund 588,David Brown,contact.588@client-588.com,FR,211820852.63
CLT-0358,Centaurus Pension 358,Noah Kim,contact.358@client-358.com,AU,211449855.77
CLT-0501,Pegasus Asset Management 501,Grace Lee,contact.501@client-501.com,BE,210226579.10
CLT-0037,Summit Securities 37,Henry Martin,contact.37@client-37.com,ES,209464659.07
CLT-0524,Polaris Global 524,Olivia Patel,contact.524@client-524.com,CA,209309016.52
CLT-0324,Saturn Trust 324,James Taylor,contact.324@client-324.com,LU,209163195.78
CLT-0873,Orion Fund 873,David Brown,contact.873@client-873.com,FR,209129669.58
CLT-0998,Pinnacle Wealth 998,Iris Clark,contact.998@client-998.com,IT,209027297.39
CLT-0020,Olympus Holdings 20,Frank Wilson,contact.20@client-20.com,CH,208917744.80
CLT-0160,Sterling Finance 160,Karen Hughes,contact.160@client-160.com,SG,208792625.22
CLT-0321,Pegasus Asset Management 321,Grace Lee,contact.321@client-321.com,BE,208505629.14
CLT-0631,Zenith Partners 631,Bob Smith,contact.631@client-631.com,GB,208164701.97
CLT-0532,Neptune Securities 532,Henry Martin,contact.532@client-532.com,ES,207198168.08
CLT-0377,Helios Investments 377,Carol White,contact.377@client-377.com,DE,206979210.71
CLT-0230,Olympus Holdings 230,Frank Wilson,contact.230@client-230.com,CH,206800981.42
CLT-0760,Sterling Finance 760,Karen Hughes,contact.760@client-760.com,SG,206791794.36
CLT-0028,Centaurus Pension 28,Noah Kim,contact.28@client-28.com,AU,206616843.17
CLT-0017,Helios Investments 17,Carol White,contact.17@client-17.com,DE,206481127.55
CLT-0911,Meridian Bank 911,Liam Chen,contact.911@client-911.com,HK,206241902.63
CLT-0262,Neptune Securities 262,Henry Martin,contact.262@client-262.com,ES,205643194.52
CLT-0058,Centaurus Pension 58,Noah Kim,contact.58@client-58.com,AU,205457058.12
CLT-0651,Pegasus Asset Management 651,Grace Lee,contact.651@client-651.com,BE,205398677.50
CLT-0553,Solaris Pension 553,Noah Kim,contact.553@client-553.com,AU,204595259.94
CLT-0166,Quantum Partners 166,Bob Smith,contact.166@client-166.com,GB,204413254.60
CLT-0914,Polaris Global 914,Olivia Patel,contact.914@client-914.com,CA,204200553.11
CLT-0145,Vega Finance 145,Karen Hughes,contact.145@client-145.com,SG,204174608.60
CLT-0217,Summit Securities 217,Henry Martin,contact.217@client-217.com,ES,204162600.59
CLT-0298,Centaurus Pension 298,Noah Kim,contact.298@client-298.com,AU,203951807.13
CLT-0014,Polaris Global 14,Olivia Patel,contact.14@client-14.com,CA,203903785.01
CLT-0648,Titan Fund 648,David Brown,contact.648@client-648.com,FR,203566266.21
CLT-0939,Horizon Trust 939,James Taylor,contact.939@client-939.com,LU,203533972.14
CLT-0926,Sirius Bank 926,Liam Chen,contact.926@client-926.com,HK,203106065.48
CLT-0415,Vega Finance 415,Karen Hughes,contact.415@client-415.com,SG,202906539.71
CLT-0530,Olympus Holdings 530,Frank Wilson,contact.530@client-530.com,CH,202876793.08
CLT-0297,Andromeda Insurance 297,Maria Santos,contact.297@client-297.com,JP,202222571.49
CLT-0946,Quantum Partners 946,Bob Smith,contact.946@client-946.com,GB,201905965.60
CLT-0809,Rigel Global 809,Olivia Patel,contact.809@client-809.com,CA,201867829.26
CLT-0673,Solaris Pension 673,Noah Kim,contact.673@client-673.com,AU,201860162.39
CLT-0676,Quantum Partners 676,Bob Smith,contact.676@client-676.com,GB,201780208.05
CLT-0178,Centaurus Pension 178,Noah Kim,contact.178@client-178.com,AU,201601820.43
CLT-0495,Aurora Capital 495,Alice Johnson,contact.495@client-495.com,US,201575992.27
CLT-0388,Centaurus Pension 388,Noah Kim,contact.388@client-388.com,AU,201219155.38
CLT-0962,Atlas Investments 962,Carol White,contact.962@client-962.com,DE,201200030.19
CLT-0945,Aurora Capital 945,Alice Johnson,contact.945@client-945.com,US,201002327.50
CLT-0904,Nexus Group 904,Emma Davis,contact.904@client-904.com,NL,200727720.61
CLT-0368,Pinnacle Wealth 368,Iris Clark,contact.368@client-368.com,IT,200637490.55
CLT-0280,Sterling Finance 280,Karen Hughes,contact.280@client-280.com,SG,200255894.51
CLT-0155,Apex Holdings 155,Frank Wilson,contact.155@client-155.com,CH,200115868.60
CLT-0910,Sterling Finance 910,Karen Hughes,contact.910@client-910.com,SG,199888523.71
CLT-0730,Sterling Finance 730,Karen Hughes,contact.730@client-730.com,SG,199026183.84
CLT-0716,Sirius Bank 716,Liam Chen,contact.716@client-716.com,HK,198487996.83
CLT-0405,Aurora Capital 405,Alice Johnson,contact.405@client-405.com,US,198397614.15
CLT-0471,Pegasus Asset Management 471,Grace Lee,contact.471@client-471.com,BE,198261771.85
CLT-0212,Atlas Investments 212,Carol White,contact.212@client-212.com,DE,197930205.33
CLT-0052,Neptune Securities 52,Henry Martin,contact.52@client-52.com,ES,197836449.43
CLT-0988,Centaurus Pension 988,Noah Kim,contact.988@client-988.com,AU,197355113.24
CLT-0812,Atlas Investments 812,Carol White,contact.812@client-812.com,DE,196531779.78
CLT-0467,Helios Investments 467,Carol White,contact.467@client-467.com,DE,196489544.45
CLT-0786,Vertex Asset Management 786,Grace Lee,contact.786@client-786.com,BE,196303955.07
CLT-0443,Jupiter Wealth 443,Iris Clark,contact.443@client-443.com,IT,195527922.91
CLT-0557,Helios Investments 557,Carol White,contact.557@client-557.com,DE,195267051.84
CLT-0756,Vertex Asset Management 756,Grace Lee,contact.756@client-756.com,BE,195014253.83
CLT-0165,Aurora Capital 165,Alice Johnson,contact.165@client-165.com,US,194999158.00
CLT-0161,Meridian Bank 161,Liam Chen,contact.161@client-161.com,HK,194963111.67
CLT-0340,Sterling Finance 340,Karen Hughes,contact.340@client-340.com,SG,194848484.01
CLT-0919,Phoenix Group 919,Emma Davis,contact.919@client-919.com,NL,194758161.43
CLT-0168,Titan Fund 168,David Brown,contact.168@client-168.com,FR,194574000.56
CLT-0745,Vega Finance 745,Karen Hughes,contact.745@client-745.com,SG,194224858.45
CLT-0775,Vega Finance 775,Karen Hughes,contact.775@client-775.com,SG,194200601.61
CLT-0453,Orion Fund 453,David Brown,contact.453@client-453.com,FR,194175225.25
CLT-0159,Horizon Trust 159,James Taylor,contact.159@client-159.com,LU,194093612.60
CLT-0225,Aurora Capital 225,Alice Johnson,contact.225@client-225.com,US,194060572.04
CLT-0245,Apex Holdings 245,Frank Wilson,contact.245@client-245.com,CH,193882518.43
CLT-0872,Atlas Investments 872,Carol White,contact.872@client-872.com,DE,193716466.30
CLT-0889,Phoenix Group 889,Emma Davis,contact.889@client-889.com,NL,193399322.22
CLT-0766,Quantum Partners 766,Bob Smith,contact.766@client-766.com,GB,193139015.80
CLT-0806,Sirius Bank 806,Liam Chen,contact.806@client-806.com,HK,192821503.96
CLT-0244,Nexus Group 244,Emma Davis,contact.244@client-244.com,NL,192741347.67
CLT-0369,Horizon Trust 369,James Taylor,contact.369@client-369.com,LU,192701463.92
CLT-0038,Pinnacle Wealth 38,Iris Clark,contact.38@client-38.com,IT,192593835.42
CLT-0523,Solaris Pension 523,Noah Kim,contact.523@client-523.com,AU,192334257.87
CLT-0220,Sterling Finance 220,Karen Hughes,contact.220@client-220.com,SG,192209228.90
CLT-0652,Neptune Securities 652,Henry Martin,contact.652@client-652.com,ES,192142839.26
CLT-0261,Pegasus Asset Management 261,Grace Lee,contact.261@client-261.com,BE,191974443.74
CLT-0299,Rigel Global 299,Olivia Patel,contact.299@client-299.com,CA,191626970.28
CLT-0565,Vega Finance 565,Karen Hughes,contact.565@client-565.com,SG,191496468.82
CLT-0853,Solaris Pension 853,Noah Kim,contact.853@client-853.com,AU,191301620.35
CLT-0896,Sirius Bank 896,Liam Chen,contact.896@client-896.com,HK,190875979.12
CLT-0866,Sirius Bank 866,Liam Chen,contact.866@client-866.com,HK,190820944.66
CLT-0256,Quantum Partners 256,Bob Smith,contact.256@client-256.com,GB,189937431.64
CLT-0692,Atlas Investments 692,Carol White,contact.692@client-692.com,DE,189893723.29
CLT-0666,Vertex Asset Management 666,Grace Lee,contact.666@client-666.com,BE,189824757.97
CLT-0890,Olympus Holdings 890,Frank Wilson,contact.890@client-890.com,CH,189608424.82
CLT-0347,Helios Investments 347,Carol White,contact.347@client-347.com,DE,189332235.00
CLT-0190,Sterling Finance 190,Karen Hughes,contact.190@client-190.com,SG,189265486.09
CLT-0440,Olympus Holdings 440,Frank Wilson,contact.440@client-440.com,CH,189216330.36
CLT-0435,Aurora Capital 435,Alice Johnson,contact.435@client-435.com,US,189147984.05
CLT-0978,Titan Fund 978,David Brown,contact.978@client-978.com,FR,189136940.03
CLT-0447,Andromeda Insurance 447,Maria Santos,contact.447@client-447.com,JP,188957565.46
CLT-0303,Orion Fund 303,David Brown,contact.303@client-303.com,FR,188633200.19
CLT-0463,Solaris Pension 463,Noah Kim,contact.463@client-463.com,AU,188580483.75
CLT-0260,Olympus Holdings 260,Frank Wilson,contact.260@client-260.com,CH,188205718.73
CLT-0278,Pinnacle Wealth 278,Iris Clark,contact.278@client-278.com,IT,188149437.79
CLT-0362,Atlas Investments 362,Carol White,contact.362@client-362.com,DE,188145851.51
CLT-0705,Aurora Capital 705,Alice Johnson,contact.705@client-705.com,US,188083221.39
CLT-0701,Meridian Bank 701,Liam Chen,contact.701@client-701.com,HK,188031883.96
CLT-0079,Phoenix Group 79,Emma Davis,contact.79@client-79.com,NL,187997042.28
CLT-0972,Cascade Insurance 972,Maria Santos,contact.972@client-972.com,JP,187905839.18
CLT-0295,Vega Finance 295,Karen Hughes,contact.295@client-295.com,SG,187456822.93
CLT-0675,Aurora Capital 675,Alice Johnson,contact.675@client-675.com,US,187446246.57
CLT-0715,Vega Finance 715,Karen Hughes,contact.715@client-715.com,SG,187180590.11
CLT-0758,Pinnacle Wealth 758,Iris Clark,contact.758@client-758.com,IT,187165436.55
CLT-0706,Quantum Partners 706,Bob Smith,contact.706@client-706.com,GB,187087993.19
CLT-0925,Vega Finance 925,Karen Hughes,contact.925@client-925.com,SG,187086527.15
CLT-0117,Andromeda Insurance 117,Maria Santos,contact.117@client-117.com,JP,187068308.80
CLT-0559,Phoenix Group 559,Emma Davis,contact.559@client-559.com,NL,187013026.53
CLT-0097,Summit Securities 97,Henry Martin,contact.97@client-97.com,ES,186938914.16
CLT-0349,Phoenix Group 349,Emma Davis,contact.349@client-349.com,NL,186716239.74
CLT-0272,Atlas Investments 272,Carol White,contact.272@client-272.com,DE,186612662.56
CLT-0977,Helios Investments 977,Carol White,contact.977@client-977.com,DE,186575174.61
CLT-0696,Vertex Asset Management 696,Grace Lee,contact.696@client-696.com,BE,186073828.79
CLT-0731,Meridian Bank 731,Liam Chen,contact.731@client-731.com,HK,185848011.32
CLT-0048,Titan Fund 48,David Brown,contact.48@client-48.com,FR,185819858.50
CLT-0541,Zenith Partners 541,Bob Smith,contact.541@client-541.com,GB,185713517.77
CLT-0513,Orion Fund 513,David Brown,contact.513@client-513.com,FR,185387606.35
CLT-0892,Neptune Securities 892,Henry Martin,contact.892@client-892.com,ES,185299204.87
CLT-0448,Centaurus Pension 448,Noah Kim,contact.448@client-448.com,AU,185004833.68
CLT-0282,Cascade Insurance 282,Maria Santos,contact.282@client-282.com,JP,184960774.99
CLT-0221,Meridian Bank 221,Liam Chen,contact.221@client-221.com,HK,184813741.74
CLT-0916,Quantum Partners 916,Bob Smith,contact.916@client-916.com,GB,184711368.65
CLT-0662,Atlas Investments 662,Carol White,contact.662@client-662.com,DE,184599990.65
CLT-0284,Polaris Global 284,Olivia Patel,contact.284@client-284.com,CA,184243819.42
CLT-0091,Zenith Partners 91,Bob Smith,contact.91@client-91.com,GB,184039620.92
CLT-0066,Vertex Asset Management 66,Grace Lee,contact.66@client-66.com,BE,183799797.36
CLT-0935,Apex Holdings 935,Frank Wilson,contact.935@client-935.com,CH,183668417.22
CLT-0647,Helios Investments 647,Carol White,contact.647@client-647.com,DE,183658428.75
CLT-0249,Horizon Trust 249,James Taylor,contact.249@client-249.com,LU,183650573.79
CLT-0204,Saturn Trust 204,James Taylor,contact.204@client-204.com,LU,183644931.92
CLT-0538,Centaurus Pension 538,Noah Kim,contact.538@client-538.com,AU,183500638.24
CLT-0499,Phoenix Group 499,Emma Davis,contact.499@client-499.com,NL,183366095.53
CLT-0285,Aurora Capital 285,Alice Johnson,contact.285@client-285.com,US,183330912.66
CLT-0884,Polaris Global 884,Olivia Patel,contact.884@client-884.com,CA,183274232.97
CLT-0659,Rigel Global 659,Olivia Patel,contact.659@client-659.com,CA,183143870.59
CLT-0241,Zenith Partners 241,Bob Smith,contact.241@client-241.com,GB,183046854.69
CLT-0010,Sterling Finance 10,Karen Hughes,contact.10@client-10.com,SG,182914708.31
CLT-0572,Atlas Investments 572,Carol White,contact.572@client-572.com,DE,182904846.49
CLT-0399,Horizon Trust 399,James Taylor,contact.399@client-399.com,LU,182684744.04
CLT-0874,Nexus Group 874,Emma Davis,contact.874@client-874.com,NL,182407669.69
CLT-0952,Neptune Securities 952,Henry Martin,contact.952@client-952.com,ES,182338618.04
CLT-0670,Sterling Finance 670,Karen Hughes,contact.670@client-670.com,SG,182083767.49
CLT-0865,Vega Finance 865,Karen Hughes,contact.865@client-865.com,SG,181939423.18
CLT-0574,Nexus Group 574,Emma Davis,contact.574@client-574.com,NL,181857727.72
CLT-0608,Pinnacle Wealth 608,Iris Clark,contact.608@client-608.com,IT,181380101.53
CLT-0922,Neptune Securities 922,Henry Martin,contact.922@client-922.com,ES,181006778.54
CLT-0719,Rigel Global 719,Olivia Patel,contact.719@client-719.com,CA,180948251.72
CLT-0464,Polaris Global 464,Olivia Patel,contact.464@client-464.com,CA,180792962.71
CLT-0152,Atlas Investments 152,Carol White,contact.152@client-152.com,DE,180474861.81
CLT-0773,Jupiter Wealth 773,Iris Clark,contact.773@client-773.com,IT,180381705.64
CLT-0374,Polaris Global 374,Olivia Patel,contact.374@client-374.com,CA,180159014.08
CLT-0115,Vega Finance 115,Karen Hughes,contact.115@client-115.com,SG,180146226.97
CLT-0740,Olympus Holdings 740,Frank Wilson,contact.740@client-740.com,CH,179852345.45
CLT-0798,Titan Fund 798,David Brown,contact.798@client-798.com,FR,179624485.63
CLT-0590,Olympus Holdings 590,Frank Wilson,contact.590@client-590.com,CH,179621261.69
CLT-0395,Apex Holdings 395,Frank Wilson,contact.395@client-395.com,CH,179530088.36
CLT-0254,Polaris Global 254,Olivia Patel,contact.254@client-254.com,CA,179406825.24
CLT-0375,Aurora Capital 375,Alice Johnson,contact.375@client-375.com,US,179396541.23
CLT-0481,Zenith Partners 481,Bob Smith,contact.481@client-481.com,GB,179309785.78
CLT-0564,Saturn Trust 564,James Taylor,contact.564@client-564.com,LU,179111167.60
CLT-0813,Orion Fund 813,David Brown,contact.813@client-813.com,FR,178971587.60
CLT-0445,Vega Finance 445,Karen Hughes,contact.445@client-445.com,SG,178229941.78
CLT-0062,Atlas Investments 62,Carol White,contact.62@client-62.com,DE,178073005.10
CLT-0854,Polaris Global 854,Olivia Patel,contact.854@client-854.com,CA,177651439.08
CLT-0717,Andromeda Insurance 717,Maria Santos,contact.717@client-717.com,JP,177620671.68
CLT-0498,Titan Fund 498,David Brown,contact.498@client-498.com,FR,177613694.41
CLT-0101,Meridian Bank 101,Liam Chen,contact.101@client-101.com,HK,177445159.23
CLT-0563,Jupiter Wealth 563,Iris Clark,contact.563@client-563.com,IT,177117991.66
CLT-0970,Sterling Finance 970,Karen Hughes,contact.970@client-970.com,SG,177110311.39
CLT-0110,Olympus Holdings 110,Frank Wilson,contact.110@client-110.com,CH,177077840.84
CLT-0578,Pinnacle Wealth 578,Iris Clark,contact.578@client-578.com,IT,177068780.75
CLT-0051,Pegasus Asset Management 51,Grace Lee,contact.51@client-51.com,BE,176820622.40
CLT-0194,Polaris Global 194,Olivia Patel,contact.194@client-194.com,CA,176753036.92
CLT-0094,Nexus Group 94,Emma Davis,contact.94@client-94.com,NL,176499254.62
CLT-0494,Polaris Global 494,Olivia Patel,contact.494@client-494.com,CA,176420691.22
CLT-0691,Zenith Partners 691,Bob Smith,contact.691@client-691.com,GB,176356825.06
CLT-0235,Vega Finance 235,Karen Hughes,contact.235@client-235.com,SG,176282910.66
CLT-0233,Jupiter Wealth 233,Iris Clark,contact.233@client-233.com,IT,175644350.33
CLT-0255,Aurora Capital 255,Alice Johnson,contact.255@client-255.com,US,175392771.47
CLT-0863,Jupiter Wealth 863,Iris Clark,contact.863@client-863.com,IT,174837701.85
CLT-0552,Cascade Insurance 552,Maria Santos,contact.552@client-552.com,JP,174673494.85
CLT-0888,Titan Fund 888,David Brown,contact.888@client-888.com,FR,174383077.47
CLT-0654,Saturn Trust 654,James Taylor,contact.654@client-654.com,LU,174056507.01
CLT-0897,Andromeda Insurance 897,Maria Santos,contact.897@client-897.com,JP,173983203.55
CLT-0203,Jupiter Wealth 203,Iris Clark,contact.203@client-203.com,IT,173927585.58
CLT-0586,Quantum Partners 586,Bob Smith,contact.586@client-586.com,GB,173548869.47
CLT-0403,Solaris Pension 403,Noah Kim,contact.403@client-403.com,AU,173369602.41
CLT-0643,Solaris Pension 643,Noah Kim,contact.643@client-643.com,AU,173235655.61
CLT-0195,Aurora Capital 195,Alice Johnson,contact.195@client-195.com,US,173059799.81
CLT-0781,Zenith Partners 781,Bob Smith,contact.781@client-781.com,GB,172969969.42
CLT-0826,Quantum Partners 826,Bob Smith,contact.826@client-826.com,GB,172884306.08
CLT-0081,Pegasus Asset Management 81,Grace Lee,contact.81@client-81.com,BE,172778223.72
CLT-0548,Pinnacle Wealth 548,Iris Clark,contact.548@client-548.com,IT,172662969.15
CLT-0188,Pinnacle Wealth 188,Iris Clark,contact.188@client-188.com,IT,172550790.31
CLT-0741,Pegasus Asset Management 741,Grace Lee,contact.741@client-741.com,BE,172332872.91
CLT-0053,Jupiter Wealth 53,Iris Clark,contact.53@client-53.com,IT,172324375.35
CLT-0401,Meridian Bank 401,Liam Chen,contact.401@client-401.com,HK,172300062.63
CLT-0623,Jupiter Wealth 623,Iris Clark,contact.623@client-623.com,IT,172186271.06
CLT-0734,Polaris Global 734,Olivia Patel,contact.734@client-734.com,CA,172158499.04
